customer_key,customer_id,name,city,phone_masked,email_masked,valid_from,valid_to,is_current,version
100,CUST00099,Samar Oak,Jaipur,XXXXX-5371,d***@example.net,2026-07-23 18:22:08.465527,,True,1
101,CUST00100,Yug Dhaliwal,Ahmedabad,XXXXX-3278,b***@example.com,2026-07-23 18:22:08.465527,,True,1
102,CUST00101,Darika Tank,Chennai,XXXXX-4797,c***@example.net,2026-07-23 18:22:08.465527,,True,1
103,CUST00102,Hritik Sankar,Chennai,XXXXX-5841,a***@example.com,2026-07-23 18:22:08.465527,,True,1
104,CUST00103,Ati Dani,Surat,XXXXX-6800,g***@example.com,2026-07-23 18:22:08.465527,,True,1
105,CUST00104,Gauri Som,Jaipur,XXXXX-4958,m***@example.net,2026-07-23 18:22:08.465527,,True,1
106,CUST00105,Chandani Soman,Pune,XXXXX-4993,p***@example.net,2026-07-23 18:22:08.465527,,True,1
107,CUST00106,Onkar Viswanathan,Mumbai,XXXXX-6263,r***@example.org,2026-07-23 18:22:08.465527,,True,1
108,CUST00107,David Devi,Ahmedabad,XXXXX-5497,e***@example.net,2026-07-23 18:22:08.465527,,True,1
109,CUST00108,Arya Misra,Jaipur,XXXXX-4198,c***@example.net,2026-07-23 18:22:08.465527,,True,1
110,CUST00109,Hemani Dhingra,Mumbai,XXXXX-8421,b***@example.com,2026-07-23 18:22:08.465527,,True,1
111,CUST00110,Xavier Bedi,Delhi,XXXXX-2677,v***@example.org,2026-07-23 18:22:08.465527,,True,1
112,CUST00111,Ekani Mangal,Delhi,XXXXX-7240,c***@example.net,2026-07-23 18:22:08.465527,,True,1
113,CUST00112,Hredhaan Nayak,Delhi,XXXXX-2742,s***@example.com,2026-07-23 18:22:08.465527,,True,1
114,CUST00113,Chakrika Hans,Chennai,XXXXX-5304,n***@example.net,2026-07-23 18:22:08.465527,,True,1
115,CUST00114,Sanya Loke,Delhi,XXXXX-2684,c***@example.org,2026-07-23 18:22:08.465527,,True,1
116,CUST00115,Jhalak Kant,Chennai,XXXXX-3391,k***@example.org,2026-07-23 18:22:08.465527,,True,1
117,CUST00116,Janaki Brahmbhatt,Surat,XXXXX-1397,b***@example.org,2026-07-23 18:22:08.465527,,True,1
118,CUST00117,Christopher Setty,Surat,XXXXX-4039,y***@example.com,2026-07-23 18:22:08.465527,,True,1
119,CUST00118,Pallavi Padmanabhan,Hyderabad,XXXXX-6766,b***@example.com,2026-07-23 18:22:08.465527,,True,1
120,CUST00119,Ijaya Dani,Surat,XXXXX-6863,m***@example.org,2026-07-23 18:22:08.465527,,True,1
121,CUST00120,Hiral Dubey,Jaipur,XXXXX-9079,r***@example.net,2026-07-23 18:22:08.465527,,True,1
122,CUST00121,Chaitanya Ratti,Kolkata,XXXXX-9953,i***@example.org,2026-07-23 18:22:08.465527,,True,1
123,CUST00122,Timothy Sachdev,Pune,XXXXX-6856,a***@example.net,2026-07-23 18:22:08.465527,,True,1
124,CUST00123,Charita Puri,Kolkata,XXXXX-8826,u***@example.org,2026-07-23 18:22:08.465527,,True,1
125,CUST00124,Samar Narayanan,Bangalore,XXXXX-0139,s***@example.org,2026-07-23 18:22:08.465527,,True,1
126,CUST00125,Varenya Joshi,Kolkata,XXXXX-3854,c***@example.org,2026-07-23 18:22:08.465527,,True,1
127,CUST00126,Jagrati Morar,Pune,XXXXX-0932,j***@example.com,2026-07-23 18:22:08.465527,,True,1
128,CUST00127,Omisha Merchant,Delhi,XXXXX-7772,r***@example.org,2026-07-23 18:22:08.465527,,True,1
129,CUST00128,Logan Suresh,Ahmedabad,XXXXX-2038,d***@example.org,2026-07-23 18:22:08.465527,,True,1
130,CUST00129,Darpan Subramanian,Surat,XXXXX-4086,a***@example.net,2026-07-23 18:22:08.465527,,True,1
131,CUST00130,Gopal Viswanathan,Delhi,XXXXX-6793,w***@example.net,2026-07-23 18:22:08.465527,,True,1
132,CUST00131,Faris Balay,Chennai,XXXXX-6591,r***@example.com,2026-07-23 18:22:08.465527,,True,1
133,CUST00132,Victor Kakar,Kolkata,XXXXX-0392,c***@example.org,2026-07-23 18:22:08.465527,,True,1
134,CUST00133,Chandani Gaba,Pune,XXXXX-6315,l***@example.com,2026-07-23 18:22:08.465527,,True,1
135,CUST00134,Eta Balan,Chennai,XXXXX-9431,s***@example.com,2026-07-23 18:22:08.465527,,True,1
136,CUST00135,Mitesh Rai,Kolkata,XXXXX-1212,l***@example.com,2026-07-23 18:22:08.465527,,True,1
137,CUST00136,Yauvani Reddy,Ahmedabad,XXXXX-4661,b***@example.com,2026-07-23 18:22:08.465527,,True,1
138,CUST00137,Omkaar Rai,Kolkata,XXXXX-6471,l***@example.com,2026-07-23 18:22:08.465527,,True,1
139,CUST00138,Yatin Tandon,Jaipur,XXXXX-7569,t***@example.org,2026-07-23 18:22:08.465527,,True,1
140,CUST00139,Ekani Iyer,Jaipur,XXXXX-4651,l***@example.com,2026-07-23 18:22:08.465527,,True,1
141,CUST00140,Pranit Bala,Delhi,XXXXX-4266,c***@example.com,2026-07-23 18:22:08.465527,,True,1
142,CUST00141,Varenya Rattan,Kolkata,XXXXX-2909,y***@example.com,2026-07-23 18:22:08.465527,,True,1
143,CUST00142,Qushi Cherian,Delhi,XXXXX-5679,c***@example.org,2026-07-23 18:22:08.465527,,True,1
144,CUST00143,Hemani Bakshi,Jaipur,XXXXX-3875,s***@example.com,2026-07-23 18:22:08.465527,,True,1
145,CUST00144,Raksha Sethi,Kolkata,XXXXX-2825,e***@example.net,2026-07-23 18:22:08.465527,,True,1
146,CUST00145,Turvi Kata,Surat,XXXXX-9660,l***@example.net,2026-07-23 18:22:08.465527,,True,1
147,CUST00146,Arya Bhatnagar,Pune,XXXXX-5969,y***@example.com,2026-07-23 18:22:08.465527,,True,1
148,CUST00147,Ijaya Pandey,Kolkata,XXXXX-3412,r***@example.net,2026-07-23 18:22:08.465527,,True,1
149,CUST00148,Yasti Rama,Ahmedabad,XXXXX-7422,k***@example.com,2026-07-23 18:22:08.465527,,True,1
150,CUST00149,Chatresh Parmer,Mumbai,XXXXX-7721,s***@example.org,2026-07-23 18:22:08.465527,,True,1
151,CUST00150,Thomas Master,Hyderabad,XXXXX-1914,m***@example.net,2026-07-23 18:22:08.465527,,True,1
152,CUST00151,Benjamin Sastry,Mumbai,XXXXX-1713,p***@example.net,2026-07-23 18:22:08.465527,,True,1
153,CUST00152,Priya Gandhi,Pune,XXXXX-5449,s***@example.org,2026-07-23 18:22:08.465527,,True,1
154,CUST00153,Krishna Sabharwal,Bangalore,XXXXX-2946,m***@example.net,2026-07-23 18:22:08.465527,,True,1
155,CUST00154,Faqid Chander,Kolkata,XXXXX-1751,v***@example.com,2026-07-23 18:22:08.465527,,True,1
156,CUST00155,Tejas Sanghvi,Ahmedabad,XXXXX-5001,w***@example.com,2026-07-23 18:22:08.465527,,True,1
157,CUST00156,Jeet Dugar,Hyderabad,XXXXX-4152,a***@example.com,2026-07-23 18:22:08.465527,,True,1
158,CUST00157,Dalaja Kaur,Mumbai,XXXXX-8700,t***@example.org,2026-07-23 18:22:08.465527,,True,1
159,CUST00158,Pahal Deo,Delhi,XXXXX-6221,o***@example.com,2026-07-23 18:22:08.465527,,True,1
160,CUST00159,Nitesh Sarraf,Bangalore,XXXXX-9656,t***@example.net,2026-07-23 18:22:08.465527,,True,1
161,CUST00160,Yug Malhotra,Mumbai,XXXXX-6403,k***@example.net,2026-07-23 18:22:08.465527,,True,1
162,CUST00161,Isaiah Khosla,Surat,XXXXX-8271,h***@example.org,2026-07-23 18:22:08.465527,,True,1
163,CUST00162,Akshay Lala,Bangalore,XXXXX-8892,b***@example.com,2026-07-23 18:22:08.465527,,True,1
164,CUST00163,Dayita Brar,Bangalore,XXXXX-3161,n***@example.com,2026-07-23 18:22:08.465527,,True,1
165,CUST00164,Dayamai Gill,Kolkata,XXXXX-2524,a***@example.net,2026-07-23 18:22:08.465527,,True,1
166,CUST00165,Gautami Sanghvi,Mumbai,XXXXX-9252,d***@example.net,2026-07-23 18:22:08.465527,,True,1
167,CUST00166,Jack Kari,Chennai,XXXXX-8635,b***@example.org,2026-07-23 18:22:08.465527,,True,1
168,CUST00167,Ekaja Madan,Chennai,XXXXX-1744,p***@example.net,2026-07-23 18:22:08.465527,,True,1
169,CUST00168,Tanmayi Anand,Delhi,XXXXX-3832,s***@example.com,2026-07-23 18:22:08.465527,,True,1
170,CUST00169,Arjun Kaul,Jaipur,XXXXX-7024,a***@example.net,2026-07-23 18:22:08.465527,,True,1
171,CUST00170,Vincent Venkatesh,Surat,XXXXX-9906,d***@example.net,2026-07-23 18:22:08.465527,,True,1
172,CUST00171,Bishakha Lal,Bangalore,XXXXX-2127,m***@example.com,2026-07-23 18:22:08.465527,,True,1
173,CUST00172,Niharika Dara,Bangalore,XXXXX-3521,s***@example.com,2026-07-23 18:22:08.465527,,True,1
174,CUST00173,Meghana Varghese,Bangalore,XXXXX-7121,m***@example.org,2026-07-23 18:22:08.465527,,True,1
175,CUST00174,Tristan De,Mumbai,XXXXX-1372,n***@example.net,2026-07-23 18:22:08.465527,,True,1
176,CUST00175,Jason Basak,Pune,XXXXX-5324,k***@example.net,2026-07-23 18:22:08.465527,,True,1
177,CUST00176,Manthan Banerjee,Hyderabad,XXXXX-6383,c***@example.com,2026-07-23 18:22:08.465527,,True,1
178,CUST00177,Lavanya Parmer,Chennai,XXXXX-9304,w***@example.net,2026-07-23 18:22:08.465527,,True,1
179,CUST00178,Ishita Kaul,Bangalore,XXXXX-5223,h***@example.net,2026-07-23 18:22:08.465527,,True,1
180,CUST00179,Jagrati Bala,Delhi,XXXXX-3930,l***@example.com,2026-07-23 18:22:08.465527,,True,1
181,CUST00180,Aadi Narula,Mumbai,XXXXX-1851,k***@example.net,2026-07-23 18:22:08.465527,,True,1
182,CUST00181,Harrison Nayar,Chennai,XXXXX-3926,e***@example.net,2026-07-23 18:22:08.465527,,True,1
183,CUST00182,Joshua Goel,Ahmedabad,XXXXX-2513,r***@example.org,2026-07-23 18:22:08.465527,,True,1
184,CUST00183,Oliver Chakrabarti,Kolkata,XXXXX-6762,s***@example.org,2026-07-23 18:22:08.465527,,True,1
185,CUST00184,Kritika Panchal,Chennai,XXXXX-0541,e***@example.net,2026-07-23 18:22:08.465527,,True,1
186,CUST00185,Onkar Prashad,Mumbai,XXXXX-6201,f***@example.com,2026-07-23 18:22:08.465527,,True,1
187,CUST00186,Ranveer Rout,Chennai,XXXXX-5061,b***@example.org,2026-07-23 18:22:08.465527,,True,1
188,CUST00187,Ryan Chatterjee,Pune,XXXXX-7418,j***@example.net,2026-07-23 18:22:08.465527,,True,1
189,CUST00188,Kamala Raj,Delhi,XXXXX-2115,r***@example.com,2026-07-23 18:22:08.465527,,True,1
190,CUST00189,Utkarsh Bhat,Kolkata,XXXXX-6089,a***@example.net,2026-07-23 18:22:08.465527,,True,1
191,CUST00190,Jai Sen,Jaipur,XXXXX-9451,o***@example.org,2026-07-23 18:22:08.465527,,True,1
192,CUST00191,Mekhala Nanda,Jaipur,XXXXX-2999,z***@example.net,2026-07-23 18:22:08.465527,,True,1
193,CUST00192,Harrison Mangal,Mumbai,XXXXX-6299,n***@example.net,2026-07-23 18:22:08.465527,,True,1
194,CUST00193,Meghana Narula,Kolkata,XXXXX-1324,c***@example.com,2026-07-23 18:22:08.465527,,True,1
195,CUST00194,Amruta Saha,Surat,XXXXX-1486,g***@example.org,2026-07-23 18:22:08.465527,,True,1
196,CUST00195,Oscar Hans,Mumbai,XXXXX-8610,d***@example.org,2026-07-23 18:22:08.465527,,True,1
197,CUST00196,Vrinda Sehgal,Surat,XXXXX-2933,u***@example.com,2026-07-23 18:22:08.465527,,True,1
198,CUST00197,Amruta Rout,Pune,XXXXX-4466,a***@example.org,2026-07-23 18:22:08.465527,,True,1
199,CUST00198,Zayyan Kamdar,Pune,XXXXX-8994,r***@example.net,2026-07-23 18:22:08.465527,,True,1
200,CUST00199,Vasatika Bhatt,Surat,XXXXX-9652,a***@example.com,2026-07-23 18:22:08.465527,,True,1
